source_id,ra,ra_error,parallax,parallax_error,bp_rp,phot_g_mean_mag,dec
225527878018880896,61.44471354414831,0.025973598,42.92314004220281,0.030084046,3.2850542,14.169683,37.32822692808938
529443749617791232,9.423304994887962,0.28227997,42.9223935983614,0.3625661,2.388363,10.893285,68.36055648915087
2945455521833759744,100.82108074734491,0.07259449,42.92168861185826,0.1280676,4.6032753,17.54544,-18.727503265546886
4076915349846977664,276.99244340050245,0.1684365,42.91983428306095,0.21284047,1.2009923,2.5435061,-25.422523033637848
5119953517683718400,35.63658221355587,0.22421029,42.911749593606245,0.41659743,0.8094635,5.0178437,-23.81677757142723
5193725009832516608,120.73658372124562,0.25318664,42.91131005405483,0.27654323,3.5655289,14.144569,-83.5015221744434
2014924125275395840,347.6019168141903,0.016955618,42.90345339783474,0.0214501,3.2483807,14.420781,61.57190911559182
2800081221135505536,7.090248565254625,1.1907697,42.887861749357185,1.6450886,1.9566059,20.81972,22.815847492085148
6258382634409906560,232.27886371882983,0.01912304,42.88087587846531,0.021233236,1.8885765,9.792593,-17.38168317505151
6519227714961476352,340.24525289315756,0.008005129,42.878048099501875,0.013261948,1.3302488,8.733119,-46.202075543925794
2645345918966845440,352.0945653724553,0.020418946,42.875381272836826,0.021599447,2.5459785,12.072464,0.4776434101830057
2118649750133781376,277.99512133290307,0.020423653,42.87431405136569,0.019994948,0.45443344,15.085826,46.974880203395934
6735410976814156672,281.9005576156837,0.019189531,42.87382182956184,0.022940656,2.9128513,13.4977255,-33.7023983591255
5300714225746375424,139.5362914911103,0.010784462,42.87355460435922,0.011431066,1.5181332,9.046162,-57.76678657726321
3032390401547521024,107.70441054807327,0.011675133,42.865613818540965,0.01792788,1.6634064,9.367091,-14.431684088143642
1859954627138933888,312.3167807343781,0.010336195,42.85975511748982,0.018011464,1.1305714,7.9744954,32.28360250300368
1933018063851510784,340.99750281245025,0.009043288,42.859022538929594,0.016254842,2.6948547,13.018014,42.26089466325326
5159136122072204416,45.92079526841149,0.031047765,42.85049382630496,0.03462137,2.6964855,12.251289,-12.842684271196314
6153267707880611584,190.2810461735985,0.22319156,42.8445636121461,0.2747073,3.9985704,15.417848,-38.721221553541234
33439176553394048,42.65530547734171,0.022302717,42.844514459393,0.025166592,1.3925943,8.483034,15.708157330247525
1857525389328342784,308.31780229994615,0.09159854,42.844319956413216,0.17500803,3.9175606,18.670107,28.394206787556378
261243245503357056,77.59290099995212,0.019837987,42.8442894528191,0.023178995,2.3338661,11.075937,48.840629657770734
1859954695858413184,312.3064335431177,0.020999437,42.838208753101384,0.035668086,3.7583027,15.306062,32.27973257765157
4971581089304028288,34.62053613811351,0.26651654,42.83683036714553,0.44380632,3.219326,19.881876,-31.55699116854528
2892996035358675968,94.16015227076628,0.008974194,42.83672526939755,0.011820596,2.8395853,13.197404,-31.589248111944425
6681773947733560192,310.95500102382533,0.016940724,42.835439744302434,0.022399927,0.042411804,13.745856,-39.05656384608838
6241924010489984896,235.82492553015214,0.017758504,42.83230591927196,0.020319508,2.2065868,12.191792,-20.264156897925986
4269294730306503936,286.63759803255084,0.020268988,42.827484239781946,0.025748758,2.6738682,12.337047,3.9031052441134193
261243245503357184,77.59368404672577,0.020436455,42.82489756685424,0.025302075,2.344823,11.137177,48.84041567180086
5297051821220130560,139.08520030780426,0.016583713,42.8215722856158,0.018891064,0.14153099,14.789858,-63.18870747608676
5531762678610961664,115.7374002183504,0.30503505,42.82131840134725,0.3774877,0.9491048,4.83457,-45.17557765915933
3701290326205270784,184.21317815550321,0.029734408,42.82048211745416,0.035222225,2.6412458,12.079506,2.9691698100805826
5698599996038907520,118.86441330502439,0.031745657,42.81590433391968,0.05466014,4.4495115,16.287943,-24.078916961211416
814482174787733248,142.10429750705612,0.09605001,42.814483329150214,0.12960489,4.6318445,17.529444,42.513397757330225
3782031794359713536,156.09364767878782,0.060535397,42.812723220297165,0.06850676,2.9516277,13.835877,-2.571337336590394
511481921508958720,25.575888130572807,0.010388835,42.80801225105387,0.017055837,2.7356405,12.659418,61.78526341244476
1576903019458821248,194.85949385880804,0.014234145,42.805818725081764,0.018568603,2.4883804,12.127158,56.56252420382174
1586649326754181376,224.41383399890174,0.08994487,42.803343735868964,0.114108644,4.7952385,17.612373,45.28844665004023
1800750014779745152,324.97790658381984,0.34423348,42.802092974122594,0.50325227,2.2446756,10.749838,27.611051859869338
6201523658320811008,222.51046333077883,0.024767814,42.7972259968212,0.032061066,2.7149334,12.733813,-37.70431965899887
116261779701601152,43.10429928301713,0.020111395,42.793278041158274,0.027309416,2.066864,10.263844,26.97395163924944
2461045814278696448,27.346372675449462,0.026821224,42.79005955331688,0.035179883,2.6548986,12.634978,-10.702280582628793
6247047562878494848,239.14338492309247,0.01831063,42.78587384953614,0.02106118,2.8460512,13.549632,-19.71314748240998
3974251440784390016,173.73605369238365,0.020235213,42.78416943722565,0.021775948,3.0752,13.714999,18.283867901420034
5601615988055197952,117.24332333112014,0.5938572,42.78172968840973,1.3444881,1.6866932,19.273632,-27.088917386067514
6758930664392303232,289.2697606421127,0.04738928,42.78127810430615,0.056668755,3.8228474,15.397839,-30.323094147833974
2745860763717896448,0.3139716449868449,0.026713772,42.780213647802256,0.03648599,3.4399757,14.667376,6.9928240420935515
5825672066710659328,236.43529143027047,1.4951692,42.777281801584294,2.6818826,1.4068298,20.477936,-64.60959923473743
3701290326205270528,184.21320011054092,0.035705764,42.7729538937966,0.042667817,,15.330235,2.9685795718294608
6042005308777992192,241.92042162530197,0.028117528,42.772629303060114,0.03261898,2.8425179,12.951443,-28.418227068459117
4575010266191725056,257.60619062214596,0.0121515505,42.77168078690782,0.018219555,2.372137,11.53626,27.97738964479166
3367795633320598528,105.62884793907183,0.031076372,42.770288848568285,0.035691794,3.4624367,14.559795,21.905926947563387
